 INFO  Accepting connections at http://localhost:5500
 HTTP  7/21/2026 2:27:16 PM ::1 GET /index.html
 HTTP  7/21/2026 2:27:16 PM ::1 Returned 301 in 354 ms
 HTTP  7/21/2026 2:27:22 PM ::1 GET /index.html
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 301 in 4 ms
 HTTP  7/21/2026 2:27:22 PM ::1 GET /index
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 301 in 3 ms
 HTTP  7/21/2026 2:27:22 PM ::1 GET /
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 200 in 73 ms
 HTTP  7/21/2026 2:27:22 PM ::1 GET /css/styles.css
 HTTP  7/21/2026 2:27:22 PM ::1 GET /assets/logo.png
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 200 in 55 ms
 HTTP  7/21/2026 2:27:22 PM ::1 GET /js/app.js
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 200 in 81 ms
 HTTP  7/21/2026 2:27:22 PM ::1 Returned 200 in 25 ms
 HTTP  7/21/2026 2:27:23 PM ::1 GET /js/firebase-init.js
 HTTP  7/21/2026 2:27:23 PM ::1 Returned 200 in 7 ms
 HTTP  7/21/2026 2:27:23 PM ::1 GET /js/ui-utils.js
 HTTP  7/21/2026 2:27:23 PM ::1 GET /js/firebase-config.js
 HTTP  7/21/2026 2:27:23 PM ::1 Returned 200 in 40 ms
 HTTP  7/21/2026 2:27:23 PM ::1 Returned 200 in 21 ms
 HTTP  7/21/2026 2:27:23 PM ::1 GET /assets/logo.png
 HTTP  7/21/2026 2:27:23 PM ::1 Returned 304 in 2 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 200 in 21 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /css/styles.css
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 304 in 4 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /js/app.js
 HTTP  7/21/2026 2:47:57 PM ::1 GET /assets/logo.png
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 304 in 2 ms
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 200 in 6 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /js/firebase-init.js
 HTTP  7/21/2026 2:47:57 PM ::1 GET /js/ui-utils.js
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 304 in 7 ms
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 304 in 8 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /js/firebase-config.js
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 304 in 4 ms
 HTTP  7/21/2026 2:47:57 PM ::1 GET /favicon.ico
 HTTP  7/21/2026 2:47:57 PM ::1 Returned 404 in 12 ms
